Account Name,2019,2020,2021,2022,2023,Account_Source,2023*
Total Assets,0,0,"66,045,912.00","74,532,015.25","78,895,301.12",Good Faithh,
Total Deposit liabilities,0,0,"47,580,831.00","51,641,674.00","56,120,443.00",Good Faithh,
Total Equity,0,0,"15,603,894.00","19,350,690.00","19,842,551.00",Good Faithh,
Total Liabilities,0,0,"50,442,019.00","55,181,326.00","59,052,750.12",Good Faithh,
Cash & Cash Equivalent,0,0,"19,799,397.00","20,884,959.00","16,902,420.89",Good Faithh,
Financial Investments,0,0,"25,330.00","24,550.00","24,550.00",Good Faithh,
Gross Loan Portfolio,0,0,"47,572,950.00","52,516,192.00","60,320,115.00",Good Faithh,
Net Loan Portfolio,0,0,"37,252,147.00","44,088,836.25","45,612,990.00",Good Faithh,
Current Year's Surplus,0,0,0,0,"2,855,717.00",Good Faithh,
Share Capital,0,0,"10,271,434.00","10,720,832.00","11,245,600.00",Good Faithh,
Statutory Reserve,0,0,0,"4,030,156.00","4,210,340.00",Good Faithh,
Total Assets,"45,621,444","49,793,828","56,660,235","60,579,585",,Goodwayy Sacco,"47,562,451"
Total Deposit liabilities,"19,185,646","23,669,977","30,511,071","28,679,000",,Goodwayy Sacco,"33,372,882"
Total Equity,"21,784,320","23,142,108","23,368,609","23,404,025",,Goodwayy Sacco,"13,961,213"
Total Liabilities,"23,837,124","26,651,721","34,068,710","36,872,613",,Goodwayy Sacco,"33,601,238"
Cash & Cash Equivalent,"5,913,431","8,460,800","7,528,330","3,906,758",,Goodwayy Sacco,"4,254,981"
Financial Investments,"914,790","1,121,325","1,811,583","1,825,751",,Goodwayy Sacco,0
Gross Loan Portfolio,"35,170,961","35,483,959","38,088,372","44,270,076",,Goodwayy Sacco,"39,675,444"
Net Loan Portfolio,"34,556,455","34,818,647","37,148,812","43,353,686",,Goodwayy Sacco,"39,250,917"
Current Year's Surplus,"2,763,822","1,306,803","853,669","1,171,271",,Goodwayy Sacco,"-1,170,167"
Share Capital,"11,986,229","11,986,229","11,986,229","13,324,579",,Goodwayy Sacco,"13,328,478"
Statutory Reserve,"2,552,633","2,934,091","3,104,825","3,404,384",,Goodwayy Sacco,"478,205"
Total Assets,"8,432,323,283","9,144,307,882","10,470,223,736","11,887,605,966","13,380,422,968",Hazina Accounts,
Total Deposit Liabilities,"6,290,093,029","6,864,888,284","7,935,970,950","9,183,165,337","10,421,787,092",Hazina Accounts,
Total Equity,"1,847,566,350","2,050,421,795","2,342,752,943","2,492,028,881","2,758,541,745",Hazina Accounts,
Total Liabilities,"6,584,756,933","7,093,886,087","8,127,470,793","9,395,577,085","10,621,881,223",Hazina Accounts,
Cash & Cash Equivalent,"448,510,967","640,432,593","1,223,803,506","1,466,423,767","1,518,225,934",Hazina Accounts,
Financial Investments,"205,372,217","129,569,217","254,495,353","277,159,335","323,178,853",Hazina Accounts,
Gross Loan Portfolio,"7,267,006,204","7,725,650,490","8,368,098,735","9,471,061,048","10,879,738,103",Hazina Accounts,
Net Loan Portfolio,"7,126,202,308","7,575,178,217","8,205,091,894","9,286,837,211","10,668,024,575",Hazina Accounts,
Current Year's Surplus,"805,102,590","838,620,016","986,508,610","1,113,874,103","1,215,622,410",Hazina Accounts,
Share Capital,"506,009,469","572,267,522","682,755,758","800,227,998","913,546,477",Hazina Accounts,
Statutory Reserve,"329,481,214","363,225,214","402,945,558","447,495,522","496,120,418",Hazina Accounts,
Total Assets,"8,432,323,283","9,144,307,882","10,470,223,736","11,887,605,966","13,380,422,968",Home business accounts approval ,
Total Deposit Liabilities,"6,290,093,029","6,864,888,284","7,935,970,950","9,183,165,337","10,421,787,092",Home business accounts approval ,
Total Equity,"1,847,566,350","2,050,421,795","2,342,752,943","2,492,028,881","2,758,541,745",Home business accounts approval ,
Total Liabilities,"6,584,756,933","7,093,886,087","8,127,470,793","9,395,577,085","10,621,881,223",Home business accounts approval ,
Cash & Cash Equivalent,"448,510,967","640,432,593","1,223,803,506","1,466,423,767","1,518,225,934",Home business accounts approval ,
Financial Investments,"205,372,217","129,569,217","254,495,353","277,159,335","323,178,853",Home business accounts approval ,
Gross Loan Portfolio,"7,267,006,204","7,725,650,490","8,368,098,735","9,471,061,048","10,879,738,103",Home business accounts approval ,
Net Loan Portfolio,"7,126,202,308","7,575,178,217","8,205,091,894","9,286,837,211","10,668,024,575",Home business accounts approval ,
Current Year's Surplus,"805,102,590","838,620,016","986,508,610","1,113,874,103","1,215,622,410",Home business accounts approval ,
Share Capital,"506,009,469","572,267,522","682,755,758","800,227,998","913,546,477",Home business accounts approval ,
Statutory Reserve,"329,481,214","363,225,214","402,945,558","447,495,522","496,120,418",Home business accounts approval ,
Total Assets,"9,152,783,165","9,737,422,176","10,131,847,994","10,876,432,155","11,452,180,000",Imarika Sacco,
Total Deposit liabilities,"6,523,104,882","7,102,455,102","7,650,895,221","8,241,550,112","8,785,420,000",Imarika Sacco,
Total Equity,"1,489,522,114","1,852,595,720","2,287,004,974","2,805,068,100","2,950,115,000",Imarika Sacco,
Total Liabilities,"7,663,261,051","7,884,826,456","7,844,843,020","8,071,364,055","8,502,065,000",Imarika Sacco,
