Account_Name,2016,2017,2018,2019,2020,2021,2022
Total Assets,190156140,198783077,215833396,246382881,214760602.1,225456536,235764693
Total Deposit liabilities,103264095,107547774,122123986,133248670,154358421,161523112,173051913
Total Equity,61400969,71387968.75,72431897,73210344,78285289,35375179,39786497
Total Liabilities,128755171,127395107,143401498,173172537,180524692,190081357,195978197
Cash & Cash Equivalent,27227584,20473615,29501244,52141499,27606849,26846351,28628400
Financial Investments,40449810,49120055,49120055,49120055,5151498,5151498,5151498
Gross Loan Portfolio,112489704,116513632,121965745,131804621,170595489.7,181532478,191230610
Net Loan Portfolio,108864930,112673981,118004126,126643002,164933870.7,175570859,184968991
Current Year's Surplus,40846,418036,249238,12410,187873,146842,896055
Share Capital,10092600,10571400,10978200,11404800,14458167,16371815,17043686
Statutory Reserve,4468256,4888175,5276065,5615502,6003391,6574278,7322167
