Account_Name,2019,2020,2021,2022
Total Assets,616749916,645448192.5,837075941.1,891881911.7
Total Deposit liabilities,574156047,628218051,651789212,691512045
Total Equity,118239348.4,128588322.9,136291121,155478690.7
Total Liabilities,648599657.4,672647988.9,700784820.8,736403221
Cash & Cash Equivalent,175549981,180207306.7,189916385,202509002
Financial Investments,9221631,9317364,9221631,9221631
Gross Loan Portfolio,369086787,393314726,409379310,451176542.8
Net Loan Portfolio,360423402,365623754.8,385155601,426716213.9
Current Year's Surplus,7642607.35,7692930,-9543950.9,11107433.24
Share Capital,48764688,49435000,58607805,68817747
Statutory Reserve,13603823,15589555.85,18681835.25,21533693.16
