Account_Name,2019,2020,2021,2022,2023
Total Assets,9484832591,10478130000,11690659106,12958024000,0
Total Deposit liabilities,5329529382,5987418000,6448131536,7044649000,0
Total Equity,3521479551,3820205000,4501570284,5098680000,0
Total Liabilities,5963353040,6657925000,7180939432,7859342000,0
Cash & Cash Equivalent,779458417,2082265000,2779557254,1471320000,0
Financial Investments,1521547182,789087000,577206451,1541829000,0
Gross Loan Portfolio,6805841374,7274066000,7941611446,9515329000,0
Net Loan Portfolio,6368366021,6732078000,7446976736,9122098000,0
Current Year's Surplus,474738488,368214000,53665158,689241000,0
Share Capital,808927629,951549000,1138732170,1305241000,0
Statutory Reserve,628651036,707922000,847099120,984947000,0
