Account_Name,2010,2020,2021,2022
Total Assets,151015729,1236977812,1372661880,1460789897
Total Deposit liabilities,128604214,867461287,911981655,972683145
Total Equity,15259572,238749982,250876988,284063176
Total Liabilities,135756157,998227830,1121784892,1176726721
Cash & Cash Equivalent,19363224,128614953,172602165,178113152
Financial Investments,472260,48158789,82528081,88060044
Gross Loan Portfolio,112905266,994788305,1099345186,778820671
Net Loan Portfolio,112905266,945191720,1037147597,741184900
Current Year's Surplus,3541956,2327178,10646785,28567777
Share Capital,10494697,89412126,93531639,97671003
Statutory Reserve,531274,17513072,19642429,27039428
