Account_Name,2018,2019,2020,2021,2022
Total Assets,12197688843,12867644756,14083966198,15152783404,16702176084
Total Deposit liabilities,9308242190,9697740685,10714387089,11437862918,12560463291
Total Equity,2013167975,2156288456,2348385459,2750487568,2698494524
Total Liabilities,10184520867,10711356299,11755580939,12628306666,13951688705
Cash & Cash Equivalent,3387311998,3991429849,5290319261,5829694681,48722817
Financial Investments,425967642,420181668,472356221,539708642,1188020706
Gross Loan Portfolio,8297125538,8313754552,8241685920,8686477474,10034205855
Net Loan Portfolio,8320111836,8414359918,8419219143,8851981817,10274952287
Current Year's Surplus,178836162,204601235,152873456,701193835,90432545
Share Capital,888741501,937694856,985832180,1023469537,1131426707
Statutory Reserve,376882310,417802557,456377242,554487703,630255350
