Account_Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Assets,,,,,,,,,,1519749190,1380239792,1404360517,1659281653
Total Deposit liabilities,,,,,,,,,,1189408124,1098300749,1050320983,1222559373
Total Equity,,,,,,,,,,2063000,,2063000,9964290
Total Liabilities,,,, ,,,,,,74433988,10628404,66108374,96872387
Cash & Cash Equivalent,,,,,,,,,,,,,
Financial Investments,,,,,,,,,,4126000,13349540,4126000,19928580
Gross Loan Portfolio,,,,,,,,,,1044903918,959859812,1030506840,1250763646
Net Loan Portfolio,,,,,,,,,,967443324,872435102,989824971,1208077075
Current Year's Surplus,,,,,,,,,,,,,
Share Capital,,,,,,,,,,,,,
Statutory Reserve,,,,,,,,,,40570078,42382692,45379511,55432240
