Account_Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Assets,886952707,1185246560,1235320891,1560105754,1699301395,1995648187,2415328924,2882475144,,3701572851,4189144224,4707277148,5367548160
Total Deposit liabilities,559229530,745419886,881752998,1074107086,1097902733,1301662001,1561654213,1816103673,,2347338824,2600095208,2849515045,3238451047
Total Equity,203039553,254553782,236925035,333973009,426691936,510101546,625483957,787260008,,971414198,1156288715,1334866646,1516411301
Total Liabilities,683913154,930692778,998395856,1226132745,1272609459,1485546640,1789844967,2095215135,,2730158655,3032855509,3354982044,3851136859
Cash & Cash Equivalent,169242912,257607037,266034639,396472718,407827391,624424540,420746946,522599346,,1066133866,1226316816,1322752340,1502271759
Financial Investments,14091580,15191580,15191580,15985700,26085700,27282077,411782430,583025081,,38417035,108417035,116417035,137404140
Gross Loan Portfolio,502161933,701336906,866580456,1050502640,1169889815,1260039501,1490839582,1720827246,,2700721660,2983656626,3379491104,3748213331
Net Loan Portfolio,502161933,701336906,842727981,1018650165,1128533399,1189398328,1390743016,1586230680,,2368943638,2610778604,2997613082,3312272534
Current Year's Surplus,,34656777,61691910,66244204,71920538,64817613,37877945,20516294,,35832655,140005077,120078529,63127954
Share Capital,127388080,133080651,33482558,42200680,42265385,44365021,49648475,113780340,,133906127,145787006,158920399,186082159
Statutory Reserve,22297880,31912074,48489144,66444985,86652629,103145013,126132045,148036060,,180400622,215052536,251963835,268521578
