Account_Name,2020,2021,2022
Total Assets,451530040,512833379,584594538
Total Deposit liabilities,345672644,393860322,442054357
Total Equity,82862280,92801711,101869376
Total Liabilities,365726317,420031669,482725162
Cash & Cash Equivalent,81357297,89301113,106793890
Financial Investments,101856,101856,101856
Gross Loan Portfolio,337140421,366288454,385965927
Net Loan Portfolio,312039246,334064972,346009652
Current Year's Surplus,573975,3119589,3655473
Share Capital,49733041,51874160,55353403
Statutory Reserve,12421535,14158817,16091766
