Account_Name,2020,2021,2022
Total Assets,459363957,1170868126,3028635921
Total Deposit liabilities,291131418,926931655.6,2286945407
Total Equity,50822603,148240999,521121779
Total Liabilities,408541355,1022627125,2507514142
Cash & Cash Equivalent,375933615,583646239,426668934
Financial Investments,10000000,10000000,51000000
Gross Loan Portfolio,67566895,552937724.5,1965911975
Net Loan Portfolio,67566895,552937724.5,1919672589
Current Year's Surplus,,27365868,83334060
Share Capital,43186838,73760486,337595002
Statutory Reserve,2019789,9748670,35365874
