Account_Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Total Assets,475383254.7,507679004.7,601249270,735114995.9,,906802314,1024315464,1084850012,1175256454,1255024242
Total Deposit liabilities,390076832.8,404699761.3,433795633,493551220.4,,155928937,195253618,193212247.1,205834906,211484074
Total Equity,12431333.29,70214495.19,84979038,95494661.57,,153458834,176931113.3,182967013.7,194155601.6,218910441
Total Liabilities,395927985.3,461986452.3,516270232,639620334.2,,753343478,847384350.7,901882998.9,981100852.9,1036113797
Cash & Cash Equivalent,37828323.03,34544012.54,50299714,33691747.55,,85628932,113087357.7,79288657,102378017.5,145762949
Financial Investments,34475097.63,40570790.18,35208138,33641898.25,,19385421,147302824.6,148086488.1,149805094.6,149815748
Gross Loan Portfolio,305479221,195133811.9,247127981,258801812,,334089794,318461829,406044412.3,471116856.9,529871512
Net Loan Portfolio,302428962.8,191231135.7,237111555,251297076,,320811825,301683860,383266443.3,441338887.9,493093543
Current Year's Surplus,,12983415.26,1628281,2368855.943,,494578,7649720.8,7703731.45,8647446.55,12557478
Share Capital,5118000,30772489.69,31942219,33215877,,81732676,91363015,93070824.7,93132731.6,96195922
Statutory Reserve,3504457.29,6750311.1,11367039,14171538,,14171538,16203968.8,18379901.7,20866763.35,24867132
