Account_Name,2013,2014,2015,2016,2017,2018,2019,2020,2021
Total Assets,409574162,424339220,463518894,456370932.6,436833618.5,590186392,659596375,728596193.7,247636263
Total Deposit liabilities,296319708,326128476,363910285.4,352811563.7,346819826,433315333,486824375,539970780,152858393
Total Equity,28460078,70781464,94944699.39,75269883.28,78350880.05,98714532,108193691,111745308,90495140
Total Liabilities,381114083,353557756,369335582.1,381100949.4,352515020.1,491471862,551402683,620430195,157141123
Cash & Cash Equivalent,21760113,47930722,64879933.08,49119809.19,36488011.02,86995878,44641958,115558634,42382915
Financial Investments,17863697,44310422,44310422.19,39760613.2,39760613.2,4228555,58311419,4228556,9688489
Gross Loan Portfolio,320539200,301762103,309603490.2,319615567.5,320612193.3,478678153,546147164,613873373,179994187
Net Loan Portfolio,312933438,291789680,299631067.1,309643144.4,310639770.2,467465209,529295686,589610625,173408823
Current Year's Surplus,2989793,14740581,65563828.1,3277418.22,5620043.16,6923924,4284090,-2328833,6331388
Share Capital,8025378,9759035,9938535.45,9938535.45,10646681.28,23206195,25804603,27736726,29601115
Statutory Reserve,6343633,7743437,6343633,7743437,7743437,18296335,21093281,22681088,17385656
