Account_Name,2019,2020,2021,2022,2023
Total Assets,45621444,49793828,56660235,60579585,47562451
Total Deposit liabilities,19185646,23669977,30511071,28679000,33372882
Total Equity,21784320,23142108,23368609,23404025,13961213
Total Liabilities,23837124,26651721,34068710,36872613,33601238
Cash & Cash Equivalent,5913431,8460800,7528330,3906758,4254981
Financial Investments,914790,1121325,1811583,1825751,0
Gross Loan Portfolio,35170961,35483959,38088372,44270076,39675444
Net Loan Portfolio,34556455,34818647,37148812,43353686,39250917
Current Year's Surplus,2763822,1306803,853669,1171271,-1170167
Share Capital,11986229,11986229,11986229,13324579,13328478
Statutory Reserve,2552633,2934091,3104825,3404384,478205
