Account_Name,2020,2021,2022,2023,,,
Total Assets,728596193.7,11204622040,,293411678,,,
Total Deposit liabilities,539970780,,221613427,257705275.6,,,
Total Equity,,,33585269,35288951.22,,,
Total Liabilities,,,235786131,258118396.6,,,
Cash & Cash Equivalent,,,10834463,60942575,,, 
Financial Investments,,,115855,115855,,,
Gross Loan Portfolio,,,247597572,238201976.4,,,
Net Loan Portfolio,,,246137216,216882732.4,,,
Current Year's Surplus,,,710651,17320,,,
Share Capital,,,17276340,18970134,,,
Statutory Reserve,,,5780960,5780960.03,,,
