Account_Name,2019,2020,2021,2022,2023
Total Assets,0,4662154303,5091966231,5443177821,5455210400
Total Deposit liabilities,0,3117070083,3748605103,3658074923,3682144210
Total Equity,0,1173151332,1445452703,1293503287,1321440550
Total Liabilities,0,3489002971,3646513528,4149674534,4133769850
Cash & Cash Equivalent,0,371352866,462253410,962830488,855320110
Financial Investments,0,355548222,447346472,122325438,125440000
Gross Loan Portfolio,0,3556155701,4318047024,4960112058,4982550600
Net Loan Portfolio,0,3248349650,3063015547,3705080581,3721440000
Current Year's Surplus,0,462063290,117708139,341691000,85241105
Share Capital,0,446959264,1091106575,535449040,545220300
Statutory Reserve,0,181817320,181817320,281223963,281223963
