Account_Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Assets,320889783,272305757,285464131,301184793,239814485.4,220441088.3,,189713880,203285421,219787161
Total Deposit liabilities,186817277,170977491,170258234,174558061,129953634,129629740,,193557587,188019559,185174019
Total Equity,94690118,83271952,79242155,77812316,70861578,49826404,,-45719370,-26515445,-15577310
Total Liabilities,226199663,189033804,206221976,223372477,168952908,170614685,,235433249,229800864,235364473
Cash & Cash Equivalent,128444792,87766162,67219689,50284396,32611064,31216703,,36658413,27628340,18898344
Financial Investments,23235649,23582539,24253235,23630498,18618897,18618897.3,,14306941,14306941,14356941
Gross Loan Portfolio,103051094,111892686,157363020,167629119,131998608.4,136448447,,98666631,99799936,111434614
Net Loan Portfolio,100772491,108738343,153940147,163589556,123651759.4,117295757,,611484,28896087,43501127
Current Year's Surplus,826227,443685,314479,400110,-7488336,-21081681,,9536032,19203925,10625719
Share Capital,3584500,9299642,10539885,11804277,13382089,13428596,,13598624,13598624,13824124
Statutory Reserve,35982721,37372631,37451251,37551278,37551279,37551279,,39935287,39935287,40022202
