Account_Name,2019,2020,2021,2022,2023
Total Assets,412300818.8,392978893.5,390333251,453443496,421806711.8
Total Deposit liabilities,194093679,161826693.2,159987193.8,277015576.8,183577223.7
Total Equity,105761017,171427377.9,184897762.7,164804805.7,203156911.7
Total Liabilities,306539801.8,221551515.5,205435488.3,288638690.4,218649800.1
Cash & Cash Equivalent,70985223,38341912.77,28993165.31,52603285.81,33993917.77
Financial Investments,44390000,83871738.59,58635118.87,47484117.43,39903530.86
Gross Loan Portfolio,181659593,146599270,174987267.9,362796441.4,230772846.5
Net Loan Portfolio,174526543,119582723.6,148161380.4,323727897.1,203760744.4
Current Year's Surplus,487234,5367586.27,11401373.05,0,13119960.5
Share Capital,37090876,118844476.4,125122050.1,67256355.38,139571307.9
Statutory Reserve,10576101,8663255,8922657,16572514.97,9788098
