Account_Name,2019,2020,2021,2022,2023
Total Assets,8021456200,9103337522,9103337522,9976326084,10543210000
Total Deposit liabilities,6120550000,6662966562,6845210400,7100000000,7500000000
Total Equity,950440000,1402167718,1199743992,1300000000,1500000000
Total Liabilities,7071016200,7701169804,7903593530,8200000000,8700000000
Cash & Cash Equivalent,150200000,195018007,136268767,140000000,160000000
Financial Investments,70000000,76980777,81097852,85000000,90000000
Gross Loan Portfolio,6200500000,6902718973,7026325423,7500000000,8100000000
Net Loan Portfolio,5800400000,6454710541,6747324365,7200000000,7800000000
Current Year's Surplus,65000000,88400500,94210300,110000000,130000000
Share Capital,420500000,468993626,472219391,480000000,500000000
Statutory Reserve,145000000,160648412,173217839,185000000,200000000
