Account_Name,2019,2020,2021,2022
Total Assets,,,7082432647,7049229871
Total Deposit liabilities,,,4924213754,5153655889
Total Equity,,,1379695652,1404311132
Total Liabilities,,,4924213754,5153655889
Cash & Cash Equivalent,,,817345916.5,576228117
Financial Investments,,,432468040.8,423139325
Gross Loan Portfolio,,,3614762641,3858442217
Net Loan Portfolio,,,3459988413,3681831574
Current Year's Surplus,,,22318172,-140119788
Share Capital,,,440474635,650021994
Statutory Reserve,,,126744666,129259779
