Account_Name,2019,2020,2021,2022
Total Assets,3365864887,3788805308,4110133410,4575477569
Total Deposit liabilities,2201237485,2392296190,2512220109,2770907617
Total Equity,827255740,1039588669,1283970270,1485910768
Total Liabilities,2538609147,2749216637,2826163140,3089566799
Cash & Cash Equivalent,168189222,457470051,672245671,760494073
Financial Investments,18661431,89875374,89890374,37451038
Gross Loan Portfolio,3077148048,3148024766,3229561965,3526498770
Net Loan Portfolio,2994823414,3054612195,3125649394,3410498258
Current Year's Surplus,87550282,96384537,94163049,73316510
Share Capital,148451901,204709347,235204252,267312059
Statutory Reserve,163114085,202908049,245992210,285559145
