Account_Name,2018,2019,2020,2021,2022
Total Assets,151015729,1148549670,1115492113,1097473604,2813808172
Total Deposit liabilities,226042212,244552689,269114517,307639794,348393763.5
Total Equity,30309940,35618868,45395635,47689646,59002431.54
Total Liabilities,236021971,259761667,276252008,2762520008,364011532.5
Cash & Cash Equivalent,5868126,1234979,1043286,30124363,14844277.23
Financial Investments,10.619076,10004941,33592821,7484699,47407232.13
Gross Loan Portfolio,222853979,228694587,231258250,277813578.3,313713341.2
Net Loan Portfolio,220553979,226294587,227332655,263690737,296055057.3
Current Year's Surplus,30884,65000,3523039,3287365.17,4902181.22
Share Capital,28963365,34068869,39441838,45111735.64,50296793.99
Statutory Reserve,938315,1021957,1902716,2466988,3692533.31
