Account_Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Assets,3475410,8750647,19015501,35649419,48282362,,91290359,127846174,149933787,169284069,213140555.7,252884528,299996601.6,360561167,415120522
Total Deposit liabilities,2279348,5920804,8325050,17127596,29393861,,62128079,91757805,112200675,121242355.4,138253935.1,175375674,213250139.3,251929259,285244427
Total Equity,439861,736861,8453756,11856866,15930148,,22540772,27501272,31120922,46159736,45921060.04,50174488.3,60637566.17,73290644,97517528
Total Liabilities,3035549,8013786,10178659,23792553,32352214,,68749587,98289787,118812864,131321376.6,167219495.3,202710039.7,239359035.4,287270522,317602994
Cash & Cash Equivalent,692551,2050924,1466652,6631870,8447670,,14001725,8376130,36432236,46322972,57724521,46245910.85,31495404.03,31354985,40136992
Financial Investments,69500,149500,209500,219500,227500,,2227686,24053206,3532249,579979,580249,580249,10580249,10777171,777172
Gross Loan Portfolio,2617776,6440080,16654373,26990740,34462859,,72135405,89845305,110900703,121040684,139494057.8,194416093.6,244870584.7,305657997,358511202
Net Loan Portfolio,2617776,6440080,16654373,26721318,34118230,,70141759,87975748,104310394,112450375,139494057.8,183825784.6,232294714.7,291082127,340435332
Current Year's Surplus,19800,22000,41916,123303,325421,,-239269,1172289,1291493,1114773,,,6941523,,2901868
Share Capital,358000,618000,7470000,10188316,13099989,,18898149,21766249,23368005,25255387,29583093.04,31984936.8,35996598.31,41367361,53313338
Statutory Reserve,19772,34772,57751,211710,359738,,723646,1319557,1844468,2927061,6113979,5115343.8,6691270,8678273,11130433
