Account_Name,2010,2020,2021,2022
Total Assets,151015729,425369462,531818874,665977217
Total Deposit liabilities,128604214,298782622,381429144,446531872
Total Equity,15259572,92148514,112643919,144918019
Total Liabilities,135756157,333220948,419174954,521059197
Cash & Cash Equivalent,19363224,41042857,44208443,40162115
Financial Investments,472260,293021,293021,351266
Gross Loan Portfolio,112905266,371165321,478267747,596874250
Net Loan Portfolio,112905266,361847211,459812005,578065237
Current Year's Surplus,3541956,5045847,6744859,6190710
Share Capital,10494697,59790352,69488716,91472479
Statutory Reserve,531274,7521643,11356525,15456152
