Account_Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Total Assets,409574162,424339220,463518894,456370932.6,436833618.5,590186392,659596375,728596193.7,1319265450,1271749497,
Total Deposit liabilities,296319708,326128476,363910285.4,352811563.7,346819826,433315333,486824375,539970780,1052689060,1002277480,
Total Equity,,,,,,,,,,,
Total Liabilities,26338982,26646429,4642444.88,27506533.77,4912342.24,58156529,64570649,72931396,42872796,43005630,
Cash & Cash Equivalent,21760113,47930722,64879933.08,49119809.19,36488011.02,86995878,44641958,115558634,55054627,198920739,
Financial Investments,17863697,44310422,44310422.19,39760613.2,39760613.2,4228555,58311419,4228556,18093594,18093594,
Gross Loan Portfolio,320539200,301762103,309603490.2,319615567.5,320612193.3,478678153,546147164,613873373,978183933,960123790,
Net Loan Portfolio,312933438,291789680,299631067.1,309643144.4,310639770.2,467465209,529295686,589610625,931220535,910159860,
Current Year's Surplus,#REF!,#REF!,#REF!,#REF!,#REF!,15782698,13984730,7939035,15356017,16375524,
Share Capital,,,,,,,,,,,
Statutory Reserve,6343633,7743437,6343633,7743437,7743437,18296335,21093281,22681088,46724597,49999702,
