Account_Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Total Assets,151015729,,,,,,,###########,1274664305,1292476096,1367873753,1384915572,1380976781,
Total Deposit liabilities,128604214,,,,,,,852237862,931336191,908933229,946509324,929406148,935024252,
Total Equity,,,,,,,,,,,,,,
Total Liabilities,,,,,,,,,,,,,,
Cash & Cash Equivalent,,,,,,,,,,,,,,
Financial Investments,472260,,,,,,,45486921,45686922,252130090,431167742,54537561,41801832,
Gross Loan Portfolio,112905266,,,,,,,832525078,791540870,816869727,810945319,758041891,812162376,
Net Loan Portfolio,112905266,,,,,,,685110959,627967516,653020530,635195558,571668726,598486828,
Current Year's Surplus,,,,,,,,,,,,,,
Share Capital,,,,,,,,,,,,,,
Statutory Reserve,531274,,,,,,,31870722,36636128,41373612,46927876,50780140,55580570,
