Account Name,2019,2020,2021,2022,2023
Total Assets,0,0,"66,045,912.00","74,532,015.25","78,895,301.12"
Total Deposit liabilities,0,0,"47,580,831.00","51,641,674.00","56,120,443.00"
Total Equity,0,0,"15,603,894.00","19,350,690.00","19,842,551.00"
Total Liabilities,0,0,"50,442,019.00","55,181,326.00","59,052,750.12"
Cash & Cash Equivalent,0,0,"19,799,397.00","20,884,959.00","16,902,420.89"
Financial Investments,0,0,"25,330.00","24,550.00","24,550.00"
Gross Loan Portfolio,0,0,"47,572,950.00","52,516,192.00","60,320,115.00"
Net Loan Portfolio,0,0,"37,252,147.00","44,088,836.25","45,612,990.00"
Current Year's Surplus,0,0,0,0,"2,855,717.00"
Share Capital,0,0,"10,271,434.00","10,720,832.00","11,245,600.00"
Statutory Reserve,0,0,0,"4,030,156.00","4,210,340.00"
