Account Name,2019,2020,2021,2022,2023
Total Assets,"9,484,832,591","10,478,130,000","11,690,659,106","12,958,024,000",0
Total Deposit Liabilities,"5,329,529,382","5,987,418,000","6,448,131,536","7,044,649,000",0
Total Equity,"3,521,479,551","3,820,205,000","4,501,570,284","5,098,680,000",0
Total Liabilities,"5,963,353,040","6,657,925,000","7,180,939,432","7,859,342,000",0
Cash & Cash Equivalent,"779,458,417","2,082,265,000","2,779,557,254","1,471,320,000",0
Financial Investments,"1,521,547,182","789,087,000","577,206,451","1,541,829,000",0
Gross Loan Portfolio,"6,805,841,374","7,274,066,000","7,941,611,446","9,515,329,000",0
Net Loan Portfolio,"6,368,366,021","6,732,078,000","7,446,976,736","9,122,098,000",0
Current Year's Surplus,"474,738,488","368,214,000","53,665,158","689,241,000",0
Share Capital,"808,927,629","951,549,000","1,138,732,170","1,305,241,000",0
Statutory Reserve,"628,651,036","707,922,000","847,099,120","984,947,000",0
