Account Name,2019,2020,2021,2022,2023
Total Assets,"9,152,783,165","9,737,422,176","10,131,847,994","10,876,432,155","11,452,180,000"
Total Deposit liabilities,"6,523,104,882","7,102,455,102","7,650,895,221","8,241,550,112","8,785,420,000"
Total Equity,"1,489,522,114","1,852,595,720","2,287,004,974","2,805,068,100","2,950,115,000"
Total Liabilities,"7,663,261,051","7,884,826,456","7,844,843,020","8,071,364,055","8,502,065,000"
Cash & Cash Equivalent,"19,363,224","893,579,487","753,154,463","903,255,082","1,017,417,813"
Financial Investments,"412,550,000","455,120,000","495,220,000","545,880,000","560,110,000"
Gross Loan Portfolio,"7,416,940,385","8,138,168,521","8,754,220,110","9,742,715,677","10,210,440,000"
Net Loan Portfolio,"7,034,090,878","7,712,450,110","8,311,245,660","9,259,367,894","9,705,369,818"
Current Year's Surplus,"357,685,310","398,929,049","446,035,664","486,112,000","252,410,000"
Share Capital,"488,412,000","554,120,000","632,550,000","715,700,250","740,115,000"
Statutory Reserve,"312,450,000","385,120,000","452,110,000","512,330,000",N/A
