Account Name,2019,2020,2021,2022,2023
Total Assets,0,"4,662,154,303","5,091,966,231","5,443,177,821","5,455,210,400"
Total Deposit Liabilities,0,"3,117,070,083","3,748,605,103","3,658,074,923","3,682,144,210"
Total Equity,0,"1,173,151,332","1,445,452,703","1,293,503,287","1,321,440,550"
Total Liabilities,0,"3,489,002,971","3,646,513,528","4,149,674,534","4,133,769,850"
Cash & Cash Equivalent,0,"371,352,866","462,253,410","962,830,488","855,320,110"
Financial Investments,0,"355,548,222","447,346,472","122,325,438","125,440,000"
Gross Loan Portfolio,0,"3,556,155,701","4,318,047,024","4,960,112,058","4,982,550,600"
Net Loan Portfolio,0,"3,248,349,650","3,063,015,547","3,705,080,581","3,721,440,000"
Current Year's Surplus,0,"462,063,290","117,708,139","341,691,000","85,241,105"
Share Capital,0,"446,959,264","1,091,106,575","535,449,040","545,220,300"
Statutory Reserve,0,"181,817,320","181,817,320","281,223,963","281,223,963"
