Account_Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Total Assets,44410076,46132702,56262269,64588552,49085187,69043776,97642022,70891155.64,71219457,74350533,76904601
Total Deposit liabilities,30702571,32261930,39325775,40506575,38895555,47601877,47689592,49822191.12,47813288,49343099,51619733
Total Equity,6601937,8728217,9371907,13748531,12723606,16937097,17264666,18082356.8,18941784,19386813,21263106
Total Liabilities,37808139,37404485,46599274,50840020,46551156,52294212,53119619,52808799.87,52259672,54963721,55641495
Cash & Cash Equivalent,4171061,2005744,8488741,13617624,37177,11883011,42565374,12173561,10271564,13629213,17087703
Financial Investments,4301970,4689870,6970410,9680814,11873268,13123495,14112600,15098010.54,16246154,7114009,7920080
Gross Loan Portfolio,31524548,36920493,36085793,34456354,33389509,29854566,31011758,29862147,29988726,33586813,32943349
Net Loan Portfolio,31524548,36920493,36085793,34456354,32589509,28504566,29086031,26901696,26428275,30026362,28704269
Current Year's Surplus, ,-170226.45,338270,744861,18611,186597,168594,531426,462239,238989,2156135
Share Capital,,,,,,,,,,,
Statutory Reserve,474829,495548,765116,1140476,1334299,1577238,1619386,1752242,1867801,1927549,2427008
