Account Name,2019,2020,2021,2022,2023
Total Assets,"412,300,818.84","392,978,893.46","390,333,250.97","453,443,496.04","421,806,711.82"
Total Deposit liabilities,"194,093,679.00","161,826,693.19","159,987,193.76","277,015,576.80","183,577,223.74"
Total Equity,"105,761,017.00","171,427,377.93","184,897,762.71","164,804,805.68","203,156,911.68"
Total Liabilities,"306,539,801.84","221,551,515.53","205,435,488.26","288,638,690.36","218,649,800.14"
Cash & Cash Equivalent,"70,985,223.00","38,341,912.77","28,993,165.31","52,603,285.81","33,993,917.77"
Financial Investments,"44,390,000.00","83,871,738.59","58,635,118.87","47,484,117.43","39,903,530.86"
Gross Loan Portfolio,"181,659,592.98","146,599,270.00","174,987,267.88","362,796,441.40","230,772,846.46"
Net Loan Portfolio,"174,526,543.00","119,582,723.61","148,161,380.41","323,727,897.14","203,760,744.43"
Current Year's Surplus,"487,234.00","5,367,586.27","11,401,373.05",0,"13,119,960.50"
Share Capital,"37,090,876.00","118,844,476.36","125,122,050.09","67,256,355.38","139,571,307.88"
Statutory Reserve,"10,576,101.00","8,663,255.00","8,922,657.00","16,572,514.97","9,788,098.00"
