Account Name,2019,2020,2021,2022,2023
Total Assets,"8,021,456,200","9,103,337,522","9,103,337,522","9,976,326,084","10,543,210,000"
Total Deposit liabilities,"6,120,550,000","6,662,966,562","6,845,210,400","7,100,000,000","7,500,000,000"
Total Equity,"950,440,000","1,402,167,718","1,199,743,992","1,300,000,000","1,500,000,000"
Total Liabilities,"7,071,016,200","7,701,169,804","7,903,593,530","8,200,000,000","8,700,000,000"
Cash & Cash Equivalent,"150,200,000","195,018,007","136,268,767","140,000,000","160,000,000"
Financial Investments,"70,000,000","76,980,777","81,097,852","85,000,000","90,000,000"
Gross Loan Portfolio,"6,200,500,000","6,902,718,973","7,026,325,423","7,500,000,000","8,100,000,000"
Net Loan Portfolio,"5,800,400,000","6,454,710,541","6,747,324,365","7,200,000,000","7,800,000,000"
Current Year's Surplus,"65,000,000","88,400,500","94,210,300","110,000,000","130,000,000"
Share Capital,"420,500,000","468,993,626","472,219,391","480,000,000","500,000,000"
Statutory Reserve,"145,000,000","160,648,412","173,217,839","185,000,000","200,000,000"
