Account_Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Assets,420805135,422925486,454657971,508533391.7,534444329,604188621,696983837,785318186,880985449.2,892250346.7,969980163,1090912706,1125723889
Total Deposit liabilities,249530153,251655387,281820645,293621734.7,322200801,370403370,440828441,483199886,535442059.2,567923384.2,618469205,696846287,719551929
Total Equity,56410715,73896875,72165342,100846405.7,146858150,170035668,185289764,201513311,237282857.5,264637633.8,290701498,311515268,319966377.1
Total Liabilities,371675186,349028611,382492629,407686986,387586180,434152954,511694073,583804876,643702594.8,627612710,679278666,779397437,805757519
Cash & Cash Equivalent,57280489,19846649,12419314,40164453.2,49731794,72857216,36146766,49345097,60967448.29,71047900.79,113169311,160342825,173487261
Financial Investments,12265847,13675347,25329658,27684832.68,14582790,28191601,32411253,36762785,41343229.54,46427679.81,56376329,57378479,70453252
Gross Loan Portfolio,263143330,296918859,325298062,359151994.3,360786989,389781182,491527931,574184811,661054784.8,731291821,764103964,841317206,851512505.7
Net Loan Portfolio,263143330,294845459,318026558,351690198.1,350184189,376107614,468334250,551940772,640827787.5,704403830.8,729214362,806427604,824642574.1
Current Year's Surplus,,,,13344568.29,19604846,18304471,7382638,11657199,27626032,18645685.67,17356216,14159782,3494998
Share Capital, ,,,,,,,,,,,,
Statutory Reserve,6638993,9477422,11070308,14182415.87,18007281,22583399,24368909,27283209,34191578.75,38878707,43217761,46757868,47631616
