Account_Name,2018,2019,2020,2021,2022
Total Assets,"151,015,729.00","1,148,549,670.00","1,115,492,112.80","1,097,473,603.87","2,813,808,172.16"
Total Deposit Liabilities,"226,042,212","244,552,689","269,114,517","307,639,794","348,393,763.48"
Total Equity,"30,309,940","35,618,868","45,395,635","47,689,646","59,002,431.54"
Total Liabilities,"236,021,971","259,761,667","276,252,008","2,762,520,008","364,011,532.48"
Cash & Cash Equivalent,"5,868,126","1,234,979","1,043,286","30,124,363","14,844,277.23"
Financial Investments,"10.619,076","10,004,941","33,592,821","7,484,699","47,407,232.13"
Gross Loan Portfolio,"222,853,979","228,694,587","231,258,250","277,813,578.32","313,713,341.18"
Net Loan Portfolio,"220,553,979","226,294,587","227,332,655","263,690,737","296,055,057.32"
Current Year's Surplus,"30,884","65,000","3,523,039","3,287,365.17","4,902,181.22"
Share Capital,"28,963,365","34,068,869","39,441,838","45,111,735.64","50,296,793.99"
Statutory Reserve,"938,315","1,021,957","1,902,716","2,466,988.00","3,692,533.31"
