Account_Name,2020,2021,2022
Total Assets,,"16,464,548,906","19,565,710,996"
Total Deposit Liabilities,,"11,971,456,880","14,503,634,837"
Total Equity,,"3,076,818,574","3,228,035,219"
Total Liabilities,,"13,489,653,122","16,337,675,777"
Cash & Cash Equivalent,,"2,906,031,020","2,884,792,742"
Financial Investments,,"150,605,194","1,151,889,435"
Gross Loan Portfoilio,,"13,312,361,672","15,230,905,643"
Net Loan Portforlio,,"12,631,246,697","14,380,342,551"
Current Year's Surplus,,"143,222,812","27,219,086"
Share Capital,,"1,399,419,707","1,443,040,168"
Statutory Reserve,,"361,774,332","441,372,924"
