Account_Name,2010,2020,2021,2022
Total Assets,"151,015,729.00","196,334,663.00","203,152,195.00","234,164,331.00"
Total Deposit Liabilities,"128,604,214.00","142,919,971.00","144,513,444.00","169,508,703.00"
Total Equity,"15,259,572.00","44,827,009.00","49,711,439.00","55,317,494.00"
Total Liabilities,"135,756,157.00","151,507,655.00","153,440,755.00","178,846,838.00"
Cash & Cash Equivalent,"19,363,224.00","80,999,768.00","84,096,060.00","114,000,530.00"
Financial Investments,"472,260.00","3,322,320.00","3,460,532.00","3,460,532.00"
Gross Loan Portfolio,"112,905,266.00","23,022,185.00","122,972,158.00","123,584,731.00"
Net Loan Portfolio,"112,905,266.00","94,715,902.00","101,006,133.00","102,709,901.00"
Current Year's Surplus,"3,541,956.00","11,304,214.00","1,153,474.00","-9,988.00"
Share Capital,"10,494,697.00","20,354,392.00","22,976,846.00","27,792,649.00"
Statutory Reserve,"531,274.00","6,683,483.00","7,653,773.00","8,454,012.00"
