Account_Name,2020,2021
Total Assets,"877,835,636","963,198,403.57"
Total Deposit Liabilities,"536,639,675","584,385,536.04"
Total Equity,"276,548,555","324,174,856.38"
Total Liabilities,"601,287,079","639,023,545.31"
Cash & Cash Equivalent,"130,055,917","99,095,632.00"
Financial Investments,"83,566,241","148,647,561.00"
Gross Loan Portfolio,"387,519,764","453,806,714.29"
Net Loan Portfolio,"363,038,850","428,311,564.76"
Current Year's Surplus,"30,352,934","30,754,436.29"
Share Capital,"43,405,773","56,958,594.01"
Statutory Reserve,"47,517,372","55,205,981.07"
