Account_Name,2021,2022
Total Assets,"18,649,502,315.00","20,404,300,695.00"
Total Deposit Liabilities,"10,141,285,907.00","11,021,355,112.00"
Total Equity,"6,159,438,190.00","7,202,942,687.00"
Total Liabilities,"12,317,660,219.00","13,201,358,010.00"
Cash & Cash Equivalent,"2,203,568,219.00","2,030,980,459.00"
Financial Investments,"1,263,960,729.00","1,538,902,177.00"
Gross Loan Portfolio,"14,562,834,447","16,358,617,304.00"
Net Loan Portfolio,"13,512,468,223.00","15,156,328,326.00"
Current Year's Surpus,"192,668,465","573,145,980.00"
Share Capital,"3,855,543,553.00","3,976,823,625.00"
Statutory Reserve,"825,886,351.00","1,034,765,149.00"
