Account_Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Assets,,,,,,,,,,,"525,124,860","557,062,797","598,754,520"
Total Deposit Liabilities,,,,,,,,,,,"416,628,664","397,433,523","419,859,304"
Total Equity,,,,,,,,,,,,,
Total Liabilities,,,, ,,,,,,,"29,901,243","43,636,047","41,334,456"
Cash & Cash Equivalent,,,,,,,,,,,,,
Financial Investments,,,,,,,,,,,,"6,293,778","26,606,944"
Gross Loan Portfolio,,,,,,,,,,,"256,873,835","338,459,421","341,151,981"
Net Loan Portfolio,,,,,,,,,,,"227,759,283","308,794,869","310,887,429"
Current Year's Surplus,,,,,,,,,,,,,
Share Capital,,,,,,,,,,,,,
Statutory Reserve,,,,,,,,,,,"17,773,272","20,157,669","23,292,669"
