Account_Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Total Assets,"409,574,162.00","424,339,220.00","463,518,893.98","456,370,932.63","436,833,618.45","590,186,392.00","659,596,375.00","728,596,193.74","1,319,265,450.00","1,271,749,497.00",
Total Deposit Liabilities,"296,319,708.00","326,128,476.00","363,910,285.35","352,811,563.70","346,819,825.96","433,315,333.00","486,824,375.00","539,970,780.00","1,052,689,060.00","1,002,277,480.00",
Total Equity,,,,,,,,,,,
Total Liabilities,"26,338,982.00","26,646,429.00","4,642,444.88","27,506,533.77","4,912,342.24","58,156,529.00","64,570,649.00","72,931,396.00","42,872,796.00","43,005,630.00",
Cash & Cash Equivalent,"21,760,113.00","47,930,722.00","64,879,933.08","49,119,809.19","36,488,011.02","86,995,878.00","44,641,958.00","115,558,634.00","55,054,627.00","198,920,739.00",
Financial Investments,"17,863,697.00","44,310,422.00","44,310,422.19","39,760,613.20","39,760,613.20"," 4,228,555.00 
"," 58,311,419.00 
"," 4,228,556.00 
","18,093,594.00","18,093,594.00",
Gross Loan Portfolio,"320,539,200.00","301,762,103.00","309,603,490.21","319,615,567.51","320,612,193.29","478,678,153.00","546,147,164.00","613,873,373.00","978,183,933.00","960,123,790.00",
Net Loan Portfolio,"312,933,438.00","291,789,680.00","299,631,067.08","309,643,144.38","310,639,770.16","467,465,209.00","529,295,686.00","589,610,625.00","931,220,535.00","910,159,860.00",
Current Year's Surplus,#REF!,#REF!,#REF!,#REF!,#REF!,"15,782,698.00","13,984,730.00","7,939,035.00","15,356,017.00","16,375,524.00",
Share Capital,,,,,,,,,,,
Statutory Reserve,"6,343,633.00","7,743,437.00","6,343,633.00","7,743,437.00","7,743,437.00","18,296,335.00","21,093,281.00","22,681,088.00","46,724,597.00","49,999,702.00",
