Account_Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Total Assets,"151,015,729",,,,,,,###########,"1,274,664,305","1,292,476,096","1,367,873,753","1,384,915,572","1,380,976,781",
Total Deposit Liabilities,"128,604,214",,,,,,,"852,237,862","931,336,191","908,933,229","946,509,324","929,406,148","935,024,252",
Total Equity,,,,,,,,,,,,,,
Total Liabilities,,,,,,,,,,,,,,
Cash & Cash Equivalent,,,,,,,,,,,,,,
Financial Investments,"472,260",,,,,,,"45,486,921","45,686,922","252,130,090","431,167,742","54,537,561","41,801,832",
Gross Loan Portfolio,"112,905,266",,,,,,,"832,525,078","791,540,870","816,869,727","810,945,319","758,041,891","812,162,376",
Net Loan Portfolio,"112,905,266",,,,,,,"685,110,959","627,967,516","653,020,530","635,195,558","571,668,726","598,486,828",
Current Year's Surplus,,,,,,,,,,,,,,
Share Capital,,,,,,,,,,,,,,
Statutory Reserve,"531,274",,,,,,,"31,870,722","36,636,128","41,373,612","46,927,876","50,780,140","55,580,570",
