Account_Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Assets,,,,,,,,,,"1,519,749,190","1,380,239,792","1,404,360,517","1,659,281,653"
Total Deposit Liabilities,,,,,,,,,,"1,189,408,124","1,098,300,749","1,050,320,983","1,222,559,373"
Total Equity,,,,,,,,,,"2,063,000",,"2,063,000","9,964,290"
Total Liabilities,,,, ,,,,,,"74,433,988","10,628,404","66,108,374","96,872,387"
Cash & Cash Equivalent,,,,,,,,,,,,,
Financial Investments,,,,,,,,,,"4,126,000","13,349,540","4,126,000","19,928,580"
Gross Loan Portfolio,,,,,,,,,,"1,044,903,918","959,859,812","1,030,506,840","1,250,763,646"
Net Loan Portfolio,,,,,,,,,,"967,443,324","872,435,102","989,824,971","1,208,077,075"
Current Year's Surplus,,,,,,,,,,,,,
Share Capital,,,,,,,,,,,,,
Statutory Reserve,,,,,,,,,,"40,570,078","42,382,692","45,379,511","55,432,240"
