Account_Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Assets,,,,,,,,,,,,,"9,790,508,652"
Total Deposit Liabilities,,,,,,,,,,,,,"5,774,547,349"
Total Equity,,,,,,,,,,,,,
Total Liabilities,,,, ,,,,,,,,,
Cash & Cash Equivalent,,,,,,,,,,,,,
Financial Investments,,,,,,,,,,,,,"92,368,296"
Gross Loan Portfolio,,,,,,,,,,,,,"9,734,915,300"
Net Loan Portfolio,,,,,,,,,,,,,"8,571,140,428"
Current Year's Surplus,,,,,,,,,,,,,
Share Capital,,,,,,,,,,,,,
Statutory Reserve,,,,,,,,,,,,,"480,787,154"
