Account_Name,2019,2020,2021,2022
Total Assets,269371213,293411678,369437115,403387182.7
Total Deposit liabilities,221613427,257705275.6,296337292,320546208
Total Equity,33585269,35288951.22,53706746,63405036
Total Liabilities,235786131,258118396.6,315730368,339982145
Cash & Cash Equivalent,10834463,60942575,56687339,77254741
Financial Investments,115855,115855,115855,115855
Gross Loan Portfolio,247597572,238201976.4,312279513,322436385
Net Loan Portfolio,246137216,216882732.4,300860863,307302543.7
Current Year's Surplus,710651,17320,15839579,3103704
Share Capital,17276340,18970134,20674211,29563201
Statutory Reserve,5780960,5780960.03,9745185,10521111
