Account_Name,2019,2020,2021,2022,2023
Total Assets,0,0,66045912,74532015.25,78895301.12
Total Deposit liabilities,0,0,47580831,51641674,56120443
Total Equity,0,0,15603894,19350690,19842551
Total Liabilities,0,0,50442019,55181326,59052750.12
Cash & Cash Equivalent,0,0,19799397,20884959,16902420.89
Financial Investments,0,0,25330,24550,24550
Gross Loan Portfolio,0,0,47572950,52516192,60320115
Net Loan Portfolio,0,0,37252147,44088836.25,45612990
Current Year's Surplus,0,0,0,0,2855717
Share Capital,0,0,10271434,10720832,11245600
Statutory Reserve,0,0,0,4030156,4210340
