Account_Name,2019,2020,2021,2022,2023
Total Assets,8432323283,9144307882,10470223736,11887605966,13380422968
Total Deposit liabilities,6290093029,6864888284,7935970950,9183165337,10421787092
Total Equity,1847566350,2050421795,2342752943,2492028881,2758541745
Total Liabilities,6584756933,7093886087,8127470793,9395577085,10621881223
Cash & Cash Equivalent,448510967,640432593,1223803506,1466423767,1518225934
Financial Investments,205372217,129569217,254495353,277159335,323178853
Gross Loan Portfolio,7267006204,7725650490,8368098735,9471061048,10879738103
Net Loan Portfolio,7126202308,7575178217,8205091894,9286837211,10668024575
Current Year's Surplus,805102590,838620016,986508610,1113874103,1215622410
Share Capital,506009469,572267522,682755758,800227998,913546477
Statutory Reserve,329481214,363225214,402945558,447495522,496120418
