Account_Name,2019,2020,2021,2022,2023
Total Assets,9152783165,9737422176,10131847994,10876432155,11452180000
Total Deposit liabilities,6523104882,7102455102,7650895221,8241550112,8785420000
Total Equity,1489522114,1852595720,2287004974,2805068100,2950115000
Total Liabilities,7663261051,7884826456,7844843020,8071364055,8502065000
Cash & Cash Equivalent,19363224,893579487,753154463,903255082,1017417813
Financial Investments,412550000,455120000,495220000,545880000,560110000
Gross Loan Portfolio,7416940385,8138168521,8754220110,9742715677,10210440000
Net Loan Portfolio,7034090878,7712450110,8311245660,9259367894,9705369818
Current Year's Surplus,357685310,398929049,446035664,486112000,252410000
Share Capital,488412000,554120000,632550000,715700250,740115000
Statutory Reserve,312450000,385120000,452110000,512330000,
