Account_Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Assets,1982931000,2246183000,2834364933,3283953220,3926234298,4877108727,6272656282,7163955475,7940582606,8917753738,10412328501,11766817996
Total Deposit liabilities,1540825000,1708217000,2027885000,2476141469,3007206335,3588473178,4351403521,5135049618,5972911279,6775457859,7839427482,8908466620
Total Equity,385707000,264252000,646128000,529146289,564167775,676037596,900603389,1089269071,1311775955,1383603693,1700047610,1806444983
Total Liabilities,1597224000,1981931000,2039815000,2754806930,3362066522,4201071132,5372052896,6074686401,6628806642,7534150045,8712280891,9960373013
Cash & Cash Equivalent,283849000,110263000,201351000,182728629,214035021,258656183,152446518,227633715,798832746,1280519269,2224711816,2033555086
Financial Investments,140316000,136004000,269992000,267823506,249273506,232172149,212113083,195044836,217351361,172957020,284566699,197057330
Gross Loan Portfolio,1458954000,1687174000,1994080000,2539002896,3182830858,4116099457,5284603210,5842582015,6239183746,6580599847,7345313859,8683011938
Net Loan Portfolio,1447463000,1669487000,1976393000,2511315580,3150143542,4068599457,5189103210,5687082015,5971399711,6240738492,6975052504,8275214583
Current Year's Surplus,16883000,27347000,58798000,40215000,27538472,23192796,8961328,46490056,46965714,48035935,108793500,62092643
Share Capital,17007000,17738000,46593000,51183315,57957132,163048132,244898056,362945371,489216589,550227614,625837800,739534288
Statutory Reserve,33539000,39631000,54556000,72274432,91411000,103653504,126907513,155984729,186446779,200882891,227344561,259109764
