Account_Name,2019,2020,2021,2022,2023
Total Assets,293411678,3617548491,4199736094,4920755244,
Total Deposit liabilities,257705275.2,2537935152,2958230141,3524816406,
Total Equity,35293281,782645980,914098669,955692734,
Total Liabilities,258118396.2,2831729437,3285637424,3965062592,
Cash & Cash Equivalent,60942574.03,782294992,1035713221,1366906242,
Financial Investments,115855,213810421,214371201,213516227,
Gross Loan Portfolio,238201977,2564485165,2876051809,3216230239,
Net Loan Portfolio,216882733,2478581524,2800698147,3151612610,
Current Year's Surplus,17320,86256085,84478339,44642289,
Share Capital,18970134,191287939,204354229,220601770,
Statutory Reserve,5785290,144642645,176460261,200792959,
