Account_Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Total Assets,,,,409574162,424339220,463518894,456370932.6,436833618.5,590186392,659596375,728596193.7,710567919.8,835259790.5,
Total Deposit liabilities,,,,296319708,326128476,363910285.4,352811563.7,346819826,433315333,486824375,539970780,511772825,607530409,
Total Equity,,,,,,,,,,,,,,
Total Liabilities,,,,26338982,26646429,4642444.88,27506533.77,4912342.24,58156529,64570649,72931396,47632633.17,55210218,
Cash & Cash Equivalent,,,,21760113,47930722,64879933.08,49119809.19,36488011.02,86995878,44641958,115558634,41254198,50760419,
Financial Investments,,,,17863697,44310422,44310422.19,39760613.2,39760613.2,4228555,58311419,4228556,40298938,112289893,
Gross Loan Portfolio,,,,320539200,301762103,309603490.2,319615567.5,320612193.3,478678153,546147164,613873373,659335537,721543394,
Net Loan Portfolio,,,,312933438,291789680,299631067.1,309643144.4,310639770.2,467465209,529295686,589610625,599303500,636581443,
Current Year's Surplus,,,,#REF!,#REF!,#REF!,#REF!,#REF!,15782698,13984730,7939035,18053689.73,19483355.21,
Share Capital,,,,,,,,,,,,,,
Statutory Reserve,,,,6343633,7743437,6343633,7743437,7743437,18296335,21093281,22681088,27833604,31730275.04,
