Account_Name,2019,2020,2021,2022
Total Assets,151015729,773058894,768849005,902893814
Total Deposit liabilities,128604214,417162829,357230710,410191266
Total Equity,15259572,322384806,353091533,405970904
Total Liabilities,135756157,450674088,415757471,496922909
Cash & Cash Equivalent,19363224,193574959,111409082,175369190
Financial Investments,472260,4306550,4606550,4702814
Gross Loan Portfolio,112905266,664592356,792589211,910801986
Net Loan Portfolio,112905266,560836016,639021260,699504518
Current Year's Surplus,3541956,25980648,10583667,23494162
Share Capital,,,,
Statutory Reserve,531274,59776350,63687236,71623886
