Account_Name,2020,2021,2022
Total Assets,7661638000,8570271000,9542672000
Total Deposit liabilities,6005018000,6565072000,7337181000
Total Equity,1081065000,1261748000,1361551000
Total Liabilities,6580573000,7308521000,8191574000
Cash & Cash Equivalent,49936000,1338128000,1954092000
Financial Investments,1653199000,621537000,241010000
Gross Loan Portfolio,5670296000,6334627000,7258848000
Net Loan Portfolio,5485410000,6111742000,6927369000
Current Year's Surplus,-38520000,17768000,12644000
Share Capital,1044967000,1040224000,
Statutory Reserve,134048000,169083000,202727000
