Account_Name,2020,2021,2022
Total Assets,4379269975,4712191322,4783080656
Total Deposit liabilities,2401022868,2596353521,2690893526
Total Equity,1418423892,1633895777,1726076373
Total Liabilities,397078190,393280271,385078568
Cash & Cash Equivalent,251294928,212893091,217650307
Financial Investments,848324872,927895776,782521847
Gross Loan Portfolio,2153084789,2397378724,2720294275
Net Loan Portfolio,2087101217,2327597233,2639682149
Current Year's Surplus,124167512,124167512,130785858
Share Capital,629590233,767364511,996574596
Statutory Reserve,101541864,126375367,152532538
