Account_Name,2020,2021,2022
Total Assets,615469447.9,700607387.6,758689887.3
Total Deposit liabilities,457406767.9,510016123,536159217
Total Equity,127432556,152023435,184486490
Total Liabilities,488036892,548583954,574203397
Cash & Cash Equivalent,147279054,168800184,155402040
Financial Investments,110000,110000,115067
Gross Loan Portfolio,443356055,495289689.8,560820732
Net Loan Portfolio,424619128,476545488,539237820
Current Year's Surplus,424619128,476545488,539237820
Share Capital,106043595.7,152023435,184486490
Statutory Reserve,424619128,476545488,539237820
