Account_Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Assets,101042159,106951763,130959400,132850579,126301662.1,253427739.6,242665216,284500118,311148805,320853210.9,338132752,369440675.7,417511209.4,486605145,554265775,624939624
Total Deposit liabilities,88302422,89586975,88558586,88558586,130809511,117656030,92769940,101506537,114728089,127628799,141371064,159029119,186558455,247191633,290292510,305173272
Total Equity,-37572804,-19680604,-16140114,-14696260,-55321370.15,-62305378.36,-43527286,172835989,184694893,99544885.27,192144479,314129849,217472965,225760792,244611929,298486661
Total Liabilities,138614963,126483614,147099514,147546839,181623032.4,315736116.8,286192501,111664129,126453912,136974582,147880245,167033191,200038243.5,260844349,309653846,326452961
Cash & Cash Equivalent,9072837,9652154,11606332,11999140,11850442,209631631.2,14295816,93164187,69012969,75323576,90278396,72166778.66,23783274.37,43822830,233362462,164912537
Financial Investments,3099100,3153280,3153280,3187680,3213000,3837498,109136598,13336598,13272498,13277355,14314587,94611870,11722912,66940857,16940857,49524309
Gross Loan Portfolio,53169220,63674472,72197161,78490493,79987012,4079328,80748696,105659865,143895127,173376620,183432718,215562132,257046189,328184248,270836485,366357901
Net Loan Portfolio,49447375,55470816,55516677,60516357,70473718,4079328.15,80748696,102052227,136550892,159871011.9,162982457,188098064,228582682,292778125,234419617,329941033
Current Year's Surplus,-130940764,-116486412,-116181177,-115950062,-955711,-6134313,-5180189,2226910,2550782,-8272686,983069,,,8514089,,13094175
Share Capital,,,,,,,,,,,,,,,,
Statutory Reserve,10535391,10848979,11035272,11316801,11316801,11316801,12627843,14412856,15050551,15215344,15357936,15699380,17509504,18701476,21755084,23674486
