Account_Name,2018,2019,2020,2021,2022
Total Assets,590186392,659596375,732175501,770481092,833815142
Total Deposit liabilities,433315333,486824375,539970780,572361970,628265978
Total Equity,98714532,108193691,111745308,119620202,126422494
Total Liabilities,491471862,551402683,620430195,650860890,707392648
Cash & Cash Equivalent,86995878,44641958,115558634,208365351,150435644
Financial Investments,4228555,58311419,4228556,4228555,4228555
Gross Loan Portfolio,478678153,546147164,613873373,552721745,668943459
Net Loan Portfolio,467465209,529295686,589610625,537389122,656602320
Current Year's Surplus,6923924,4284090,-2328833,2007244,368916
Share Capital,,102637695,103828792,110108504,116952529
Statutory Reserve,18296335,21093281,22681088,25216716,27775274
