SACCO,Year,Cash & Cash Equivalent,Current Year's Surplus,Financial Investments,Gross Loan Portfolio,Net Loan Portfolio,Share Capital,Statutory Reserve,Total Assets,Total Deposit liabilities,Total Equity,Total Liabilities
ACUMEN SACCO,2007,0,0,0,0,0,0,0,0,0,0,0
ACUMEN SACCO,2008,0,0,0,0,0,0,0,0,0,0,0
ACUMEN SACCO,2009,0,0,0,0,0,0,0,0,0,0,0
ACUMEN SACCO,2010,0,0,0,0,0,0,0,0,0,0,0
ACUMEN SACCO,2011,0,0,0,0,0,0,0,0,0,0,0
ACUMEN SACCO,2012,0,0,0,0,0,0,0,0,0,0,0
ACUMEN SACCO,2013,0,0,0,0,0,0,0,0,0,0,0
ACUMEN SACCO,2014,0,0,0,0,0,0,0,0,0,0,0
ACUMEN SACCO,2015,0,0,0,0,0,0,0,0,0,0,0
ACUMEN SACCO,2016,0,0,0,0,0,0,0,0,0,0,0
ACUMEN SACCO,2017,0,0,0,0,0,0,0,0,0,0,0
ACUMEN SACCO,2018,0,0,0,0,0,0,0,0,0,0,0
ACUMEN SACCO,2019,10834463.0,710651.0,115855.0,247597572.0,246137216.0,17276340.0,5780960.0,269371213.0,221613427.0,33585269.0,235786131.0
ACUMEN SACCO,2020,60942575.0,17320.0,115855.0,238201976.4,216882732.4,18970134.0,5780960.03,293411678.0,257705275.6,35288951.22,258118396.6
ACUMEN SACCO,2021,56687339.0,15839579.0,115855.0,312279513.0,300860863.0,20674211.0,9745185.0,369437115.0,296337292.0,53706746.0,315730368.0
ACUMEN SACCO,2022,77254741.0,3103704.0,115855.0,322436385.0,307302543.7,29563201.0,10521111.0,403387182.7,320546208.0,63405036.0,339982145.0
ACUMEN SACCO,2023,0,0,0,0,0,0,0,0,0,0,0
DEFENCE SACCO,2007,0,0,0,0,0,0,0,0,0,0,0
DEFENCE SACCO,2008,0,0,0,0,0,0,0,0,0,0,0
DEFENCE SACCO,2009,0,0,0,0,0,0,0,0,0,0,0
DEFENCE SACCO,2010,0,0,0,0,0,0,0,0,0,0,0
DEFENCE SACCO,2011,0,0,0,0,0,0,0,0,0,0,0
DEFENCE SACCO,2012,0,0,0,0,0,0,0,0,0,0,0
DEFENCE SACCO,2013,0,0,0,0,0,0,0,0,0,0,0
DEFENCE SACCO,2014,0,0,0,0,0,0,0,0,0,0,0
DEFENCE SACCO,2015,0,0,0,0,0,0,0,0,0,0,0
DEFENCE SACCO,2016,0,0,0,0,0,0,0,0,0,0,0
DEFENCE SACCO,2017,0,0,0,0,0,0,0,0,0,0,0
DEFENCE SACCO,2018,0,0,0,0,0,0,0,0,0,0,0
DEFENCE SACCO,2019,0,0,0,0,0,0,0,0,0,0,0
DEFENCE SACCO,2020,375933615.0,0,10000000.0,67566895.0,67566895.0,43186838.0,2019789.0,459363957.0,291131418.0,50822603.0,408541355.0
DEFENCE SACCO,2021,583646239.0,27365868.0,10000000.0,552937724.5,552937724.5,73760486.0,9748670.0,1170868126.0,926931655.6,148240999.0,1022627125.0
DEFENCE SACCO,2022,426668934.0,83334060.0,51000000.0,1965911975.0,1919672589.0,337595002.0,35365874.0,3028635921.0,2286945407.0,521121779.0,2507514142.0
DEFENCE SACCO,2023,0,0,0,0,0,0,0,0,0,0,0
ECO-PILLAR SACCO,2007,0,0,0,0,0,0,0,0,0,0,0
ECO-PILLAR SACCO,2008,0,0,0,0,0,0,0,0,0,0,0
ECO-PILLAR SACCO,2009,0,0,0,0,0,0,0,0,0,0,0
ECO-PILLAR SACCO,2010,0,0,0,0,0,0,0,0,0,0,0
ECO-PILLAR SACCO,2011,0,0,0,0,0,0,0,0,0,0,0
ECO-PILLAR SACCO,2012,37828323.03,0,34475097.63,305479221.0,302428962.8,5118000.0,3504457.29,475383254.7,390076832.8,12431333.29,395927985.3
ECO-PILLAR SACCO,2013,34544012.54,12983415.26,40570790.18,195133811.9,191231135.7,30772489.69,6750311.1,507679004.7,404699761.3,70214495.19,461986452.3
ECO-PILLAR SACCO,2014,50299714,1628281,35208138,247127981,237111555,31942219,11367039,601249270,433795633,84979038,516270232
ECO-PILLAR SACCO,2015,33691747.55,2368855.943,33641898.25,258801812.0,251297076.0,33215877.0,14171538.0,735114995.9,493551220.4,95494661.57,639620334.2
ECO-PILLAR SACCO,2016,0,0,0,0,0,0,0,0,0,0,0
ECO-PILLAR SACCO,2017,85628932,494578,19385421,334089794,320811825,81732676,14171538,906802314,155928937,153458834,753343478
ECO-PILLAR SACCO,2018,113087357.7,7649720.8,147302824.6,318461829.0,301683860.0,91363015.0,16203968.8,1024315464.0,195253618.0,176931113.3,847384350.7
ECO-PILLAR SACCO,2019,79288657.0,7703731.45,148086488.1,406044412.3,383266443.3,93070824.7,18379901.7,1084850012.0,193212247.1,182967013.7,901882998.9
ECO-PILLAR SACCO,2020,102378017.5,8647446.55,149805094.6,471116856.9,441338887.9,93132731.6,20866763.35,1175256454.0,205834906.0,194155601.6,981100852.9
ECO-PILLAR SACCO,2021,145762949.0,12557478.0,149815748.0,529871512.0,493093543.0,96195922.0,24867132.0,1255024242.0,211484074.0,218910441.0,1036113797.0
ECO-PILLAR SACCO,2022,0,0,0,0,0,0,0,0,0,0,0
ECO-PILLAR SACCO,2023,0,0,0,0,0,0,0,0,0,0,0
EDIS SACCO,2007,0,0,0,0,0,0,0,0,0,0,0
EDIS SACCO,2008,0,0,0,0,0,0,0,0,0,0,0
EDIS SACCO,2009,0,0,0,0,0,0,0,0,0,0,0
EDIS SACCO,2010,0,0,0,0,0,0,0,0,0,0,0
EDIS SACCO,2011,0,0,0,0,0,0,0,0,0,0,0
EDIS SACCO,2012,0,0,0,0,0,0,0,0,0,0,0
EDIS SACCO,2013,0,0,0,0,0,0,0,0,0,0,0
EDIS SACCO,2014,0,0,0,0,0,0,0,0,0,0,0
EDIS SACCO,2015,0,0,0,0,0,0,0,0,0,0,0
EDIS SACCO,2016,0,0,0,0,0,0,0,0,0,0,0
EDIS SACCO,2017,0,0,0,0,0,0,0,0,0,0,0
EDIS SACCO,2018,0,0,0,0,0,0,0,0,0,0,0
EDIS SACCO,2019,0,0,0,0,0,0,0,0,0,0,0
EDIS SACCO,2020,0,0,0,0,0,0,0,0,0,0,0
EDIS SACCO,2021,0,0,0,0,0,0,0,0,0,0,0
EDIS SACCO,2022,9010955.0,4479585.0,106000.0,229615583.0,214255208.0,31724224.0,11528902.98,260823377.0,159948354.0,67503997.73,193319379.0
EDIS SACCO,2023,0,0,0,0,0,0,0,0,0,0,0
FORTITUDE SACCO,2007,0,0,0,0,0,0,0,0,0,0,0
FORTITUDE SACCO,2008,0,0,0,0,0,0,0,0,0,0,0
FORTITUDE SACCO,2009,0,0,0,0,0,0,0,0,0,0,0
FORTITUDE SACCO,2010,0,0,0,0,0,0,0,0,0,0,0
FORTITUDE SACCO,2011,0,0,0,0,0,0,0,0,0,0,0
FORTITUDE SACCO,2012,0,0,0,0,0,0,0,0,0,0,0
FORTITUDE SACCO,2013,21760113,2989793,17863697,320539200,312933438,8025378,6343633,409574162,296319708,28460078,381114083
FORTITUDE SACCO,2014,47930722,14740581,44310422,301762103,291789680,9759035,7743437,424339220,326128476,70781464,353557756
FORTITUDE SACCO,2015,64879933.08,65563828.1,44310422.19,309603490.2,299631067.1,9938535.45,6343633.0,463518894.0,363910285.4,94944699.39,369335582.1
FORTITUDE SACCO,2016,49119809.19,3277418.22,39760613.2,319615567.5,309643144.4,9938535.45,7743437.0,456370932.6,352811563.7,75269883.28,381100949.4
FORTITUDE SACCO,2017,36488011.02,5620043.16,39760613.2,320612193.3,310639770.2,10646681.28,7743437.0,436833618.5,346819826.0,78350880.05,352515020.1
FORTITUDE SACCO,2018,86995878.0,6923924.0,4228555.0,478678153.0,467465209.0,23206195.0,18296335.0,590186392.0,433315333.0,98714532.0,491471862.0
FORTITUDE SACCO,2019,44641958.0,4284090.0,58311419.0,546147164.0,529295686.0,25804603.0,21093281.0,659596375.0,486824375.0,108193691.0,551402683.0
FORTITUDE SACCO,2020,115558634.0,-2328833.0,4228556.0,613873373.0,589610625.0,27736726.0,22681088.0,728596193.7,539970780.0,111745308.0,620430195.0
FORTITUDE SACCO,2021,42382915.0,6331388.0,9688489.0,179994187.0,173408823.0,29601115.0,17385656.0,247636263.0,152858393.0,90495140.0,157141123.0
FORTITUDE SACCO,2022,0,0,0,0,0,0,0,0,0,0,0
FORTITUDE SACCO,2023,0,0,0,0,0,0,0,0,0,0,0
GOLDEN PILLAR SACCO,2007,0,0,0,0,0,0,0,0,0,0,0
GOLDEN PILLAR SACCO,2008,0,0,0,0,0,0,0,0,0,0,0
GOLDEN PILLAR SACCO,2009,0,0,0,0,0,0,0,0,0,0,0
GOLDEN PILLAR SACCO,2010,0,0,0,0,0,0,0,0,0,0,0
GOLDEN PILLAR SACCO,2011,0,0,0,0,0,0,0,0,0,0,0
GOLDEN PILLAR SACCO,2012,0,0,0,0,0,0,0,0,0,0,0
GOLDEN PILLAR SACCO,2013,21760113,2989793,17863697,320539200,312933438,8025378,6343633,409574162,296319708,28460078,381114083
GOLDEN PILLAR SACCO,2014,47930722,14740581,44310422,301762103,291789680,9759035,7743437,424339220,326128476,70781464,353557756
GOLDEN PILLAR SACCO,2015,64879933.08,65563828.1,44310422.19,309603490.2,299631067.1,9938535.45,6343633.0,463518894.0,363910285.4,94944699.39,369335582.1
GOLDEN PILLAR SACCO,2016,49119809.19,3277418.22,39760613.2,319615567.5,309643144.4,9938535.45,7743437.0,456370932.6,352811563.7,75269883.28,381100949.4
GOLDEN PILLAR SACCO,2017,36488011.02,5620043.16,39760613.2,320612193.3,310639770.2,10646681.28,7743437.0,436833618.5,346819826.0,78350880.05,352515020.1
GOLDEN PILLAR SACCO,2018,86995878.0,6923924.0,4228555.0,478678153.0,467465209.0,23206195.0,18296335.0,590186392.0,433315333.0,98714532.0,491471862.0
GOLDEN PILLAR SACCO,2019,44641958.0,4284090.0,58311419.0,546147164.0,529295686.0,25804603.0,21093281.0,659596375.0,486824375.0,108193691.0,551402683.0
GOLDEN PILLAR SACCO,2020,115558634.0,-2328833.0,4228556.0,613873373.0,589610625.0,27736726.0,22681088.0,728596193.7,539970780.0,111745308.0,620430195.0
GOLDEN PILLAR SACCO,2021,38250286.0,7080831.0,89398939.0,412658791.0,395822164.0,41285711.0,19638580.0,544819916.0,394840116.0,108760083.0,436059833.0
GOLDEN PILLAR SACCO,2022,27033549.0,6720816.0,102201939.0,458138358.0,437190223.0,56478514.0,22446815.0,594366525.0,426843091.0,133948793.0,460417735.0
GOLDEN PILLAR SACCO,2023,0,0,0,0,0,0,0,0,0,0,0
GOODFAITH SACCO,2007,0,0,0,0,0,0,0,0,0,0,0
GOODFAITH SACCO,2008,0,0,0,0,0,0,0,0,0,0,0
GOODFAITH SACCO,2009,0,0,0,0,0,0,0,0,0,0,0
GOODFAITH SACCO,2010,0,0,0,0,0,0,0,0,0,0,0
GOODFAITH SACCO,2011,0,0,0,0,0,0,0,0,0,0,0
GOODFAITH SACCO,2012,0,0,0,0,0,0,0,0,0,0,0
GOODFAITH SACCO,2013,0,0,0,0,0,0,0,0,0,0,0
GOODFAITH SACCO,2014,0,0,0,0,0,0,0,0,0,0,0
GOODFAITH SACCO,2015,0,0,0,0,0,0,0,0,0,0,0
GOODFAITH SACCO,2016,0,0,0,0,0,0,0,0,0,0,0
GOODFAITH SACCO,2017,0,0,0,0,0,0,0,0,0,0,0
GOODFAITH SACCO,2018,0,0,0,0,0,0,0,0,0,0,0
GOODFAITH SACCO,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOODFAITH SACCO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOODFAITH SACCO,2021,19799397.0,0.0,25330.0,47572950.0,37252147.0,10271434.0,0.0,66045912.0,47580831.0,15603894.0,50442019.0
GOODFAITH SACCO,2022,20884959.0,0.0,24550.0,52516192.0,44088836.25,10720832.0,4030156.0,74532015.25,51641674.0,19350690.0,55181326.0
GOODFAITH SACCO,2023,16902420.89,2855717.0,24550.0,60320115.0,45612990.0,11245600.0,4210340.0,78895301.12,56120443.0,19842551.0,59052750.12
GOODWAY SACCO,2007,0,0,0,0,0,0,0,0,0,0,0
GOODWAY SACCO,2008,0,0,0,0,0,0,0,0,0,0,0
GOODWAY SACCO,2009,0,0,0,0,0,0,0,0,0,0,0
GOODWAY SACCO,2010,0,0,0,0,0,0,0,0,0,0,0
GOODWAY SACCO,2011,0,0,0,0,0,0,0,0,0,0,0
GOODWAY SACCO,2012,0,0,0,0,0,0,0,0,0,0,0
GOODWAY SACCO,2013,0,0,0,0,0,0,0,0,0,0,0
GOODWAY SACCO,2014,0,0,0,0,0,0,0,0,0,0,0
GOODWAY SACCO,2015,0,0,0,0,0,0,0,0,0,0,0
GOODWAY SACCO,2016,0,0,0,0,0,0,0,0,0,0,0
GOODWAY SACCO,2017,0,0,0,0,0,0,0,0,0,0,0
GOODWAY SACCO,2018,0,0,0,0,0,0,0,0,0,0,0
GOODWAY SACCO,2019,5913431.0,2763822.0,914790.0,35170961.0,34556455.0,11986229.0,2552633.0,45621444.0,19185646.0,21784320.0,23837124.0
